site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date,model type
positive,KR_R002_0032,KR_R002_7004_test_2.0.0,,,,234.46276181257366,639.0419440677692,1098.956105991787,253,753,1254,2018-06-30,2018-06-30,2015-01-23,2017-10-20,point
positive,KR_R002_0033,KR_R002_7009_test_2.0.0,,,,145.38557884394118,180.89480803469723,263.81735158906633,0,88,504,2016-06-10,2016-06-10,2015-01-23,2017-05-03,point
positive_excluded,KR_R002_0035,KR_R002_7009_test_2.0.0,,,,156.35835644786604,338.68697775818555,495.9472605785526,1432,1847,2263,2021-04-04,2021-04-04,2015-01-23,2017-05-03,point
positive_excluded,KR_R002_0036,KR_R002_7009_test_2.0.0,,,,1.9113181108634254,182.2972353649003,340.3344601217538,42,457,873,2017-06-14,2017-06-14,2015-01-23,2017-05-03,point
positive_excluded,KR_R002_0037,KR_R002_7009_test_2.0.0,,,,104.47525128178854,276.152703616283,430.2423422788554,0,-126,-541,2015-11-09,2015-11-09,2015-01-23,2017-05-03,point
ignore,KR_R002_0042,KR_R002_7012_test_2.0.0,,,,408.4324435437859,810.6629004401701,1220.4453728852409,543,1271,1999,2019-07-26,2019-07-26,2014-02-03,2018-01-29,point
ignore,KR_R002_0042,KR_R002_7024_test_2.0.0,,,,382.25633582497176,507.47880557820855,684.5372459758249,603,1301,1999,2019-07-26,2019-07-26,2014-02-03,2017-11-30,point
ignore,KR_R002_0055,KR_R002_7018_test_2.0.0,,,,448.76522576415283,536.9630698439241,639.5944566301865,0,316,682,2017-12-10,2017-12-10,2016-01-28,2018-01-29,point
positive,KR_R002_0056,KR_R002_7024_test_2.0.0,,,,380.2653844960449,485.29805365387404,612.8256820484945,0,622,1320,2017-09-15,2017-09-15,2014-02-03,2017-11-30,point
ignore,KR_R002_0061,KR_R002_7017_test_2.0.0,,,,428.9185221443852,456.4457504840499,610.5163641315478,716,1407,2098,2019-11-02,2019-11-02,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0070,KR_R002_7017_test_2.0.0,,,,203.1861752478093,232.8915713390858,454.7577979629496,1090,1781,2472,2020-11-10,2020-11-10,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0071,KR_R002_7017_test_2.0.0,,,,417.66309998571677,502.8269282938877,726.785700912013,857,1548,2239,2020-03-22,2020-03-22,2014-02-03,2017-11-16,point
ignore,KR_R002_0082,KR_R002_7000_test_2.0.0,,,,92.05026614446997,280.799048723342,705.9658813277869,817,1320,1823,2020-01-20,2020-01-20,2015-01-23,2017-10-25,point
ignore,KR_R002_0082,KR_R002_7001_test_2.0.0,,,,382.8614963847535,486.585423170069,613.7019955329839,0,473,1086,2020-01-20,2020-01-20,2017-01-29,2020-06-08,point
ignore,KR_R002_0082,KR_R002_7002_test_2.0.0,,,,397.1411860070354,456.995181721156,520.14959405482,82,634,1187,2020-01-20,2020-01-20,2016-10-20,2019-10-30,point
ignore,KR_R002_0083,KR_R002_7000_test_2.0.0,,,,103.03036539848507,537.5857722676207,1084.1840527820304,673,1176,1679,2019-08-29,2019-08-29,2015-01-23,2017-10-25,point
ignore,KR_R002_0083,KR_R002_7001_test_2.0.0,,,,136.3869275676259,266.0652708960204,378.4112001896461,0,329,942,2019-08-29,2019-08-29,2017-01-29,2020-06-08,point
ignore,KR_R002_0083,KR_R002_7003_test_2.0.0,,,,296.82941288830534,348.0041048501128,429.11963888577503,552,1115,1679,2019-08-29,2019-08-29,2015-01-23,2018-02-23,point
ignore,KR_R002_0083,KR_R002_7004_test_2.0.0,,,,181.13790007277663,677.1250986402644,1125.3958173121011,678,1178,1679,2019-08-29,2019-08-29,2015-01-23,2017-10-20,point
positive_excluded,KR_R002_0084,KR_R002_7014_test_2.0.0,,,,232.79876068158705,291.9136895401,366.7976830108971,0,422,1373,2017-11-07,2017-11-07,2014-02-03,2019-04-20,point
positive_excluded,KR_R002_0087,KR_R002_7021_test_2.0.0,,,,411.0413276520136,574.547651588568,765.1546549188458,2,519,1036,2019-10-02,2019-10-02,2016-11-30,2019-09-30,point
positive_excluded,KR_R002_0087,KR_R002_7023_test_2.0.0,,,,300.2364910064096,408.54730505645995,528.6126791566329,671,1007,1343,2019-10-02,2019-10-02,2016-01-28,2017-11-30,point
positive_excluded,KR_R002_0090,KR_R002_7021_test_2.0.0,,,,204.99970846717946,369.0416316284311,560.4295678324055,0,-102,-619,2018-01-19,2018-01-19,2016-11-30,2019-09-30,point
positive_excluded,KR_R002_0090,KR_R002_7022_test_2.0.0,,,,320.2921096256182,540.3986259033665,783.1471171965561,0,-141,-696,2018-01-19,2018-01-19,2016-11-30,2019-12-16,point
