,Site Preparation,Active Construction,Post Construction
site truth BR_R002_0001_te_2.0.0 vs. site model BR_R002_7005_test_2.0.0,0.010638297872340425,0.7904191616766467,0.0
site truth BR_R002_0000_te_2.0.1 vs. site model BR_R002_7004_test_2.0.0,0.013157894736842105,0.44217151848937847,0.0
