Min Confidence,precision_rho=0.5,images FAR_rho=0.5
0.0,0.88,0.0036319612590799033
0.1,0.88,0.0036319612590799033
0.2,0.88,0.0036319612590799033
0.3,0.88,0.0036319612590799033
0.4,0.88,0.0036319612590799033
0.5,0.9565217391304348,0.0013123359580052493
0.6,1.0,0.0
0.7,1.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
