Min Confidence,recall (PD)_rho=0.5,precision_rho=0.5
0.0,0.8461538461538461,0.88
0.1,0.8461538461538461,0.88
0.2,0.8461538461538461,0.88
0.3,0.8461538461538461,0.88
0.4,0.8461538461538461,0.88
0.5,0.8461538461538461,0.9565217391304348
0.6,0.6923076923076923,1.0
0.7,0.038461538461538464,1.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
