Min Confidence,precision_rho=0.5,recall (PD)_rho=0.5
0.0,0.88,0.8461538461538461
0.1,0.88,0.8461538461538461
0.2,0.88,0.8461538461538461
0.3,0.88,0.8461538461538461
0.4,0.88,0.8461538461538461
0.5,0.9565217391304348,0.8461538461538461
0.6,1.0,0.6923076923076923
0.7,1.0,0.038461538461538464
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
