Min Confidence,F1_rho=0.5,precision_rho=0.5
0.0,0.8627450980392157,0.88
0.1,0.8627450980392157,0.88
0.2,0.8627450980392157,0.88
0.3,0.8627450980392157,0.88
0.4,0.8627450980392157,0.88
0.5,0.8979591836734694,0.9565217391304348
0.6,0.8181818181818182,1.0
0.7,0.07407407407407407,1.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
