site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date
positive_annotated,KR_R002_0000_te_2.0.0,KR_R002_7019_test_2.0.0,0.0,1.0,0.8988195615514334,2015-01-23,2017-01-03,2014-02-03,2017-05-03
positive_annotated,KR_R002_0001_te_2.0.0,KR_R002_7024_test_2.0.0,0.0,0.994280266920877,1.0,2015-01-23,2017-12-06,2014-02-03,2017-11-30
positive_annotated,KR_R002_0029_te_2.0.0,KR_R002_7001_test_2.0.0,0.0,0.6422310756972112,0.6821515892420538,2018-03-26,2021-08-31,2017-01-29,2020-06-08
ignore,KR_R002_0137_te_2.0.3,KR_R002_7004_test_2.0.0,0.0,0.4704225352112676,1.0,2014-01-01,2019-10-31,2015-01-23,2017-10-20
