site model,site area,matched truth sites,site count,association status,associated,color code
BR_R002_7000_test_2.0.0,0.011567804,BR_R002_0005,1,0,True,26
BR_R002_7001_test_2.0.0,0.0607012906,BR_R002_0012,1,0,True,26
BR_R002_7002_test_2.0.0,0.0126488469,BR_R002_0000,1,0,False,27
BR_R002_7003_test_2.0.0,0.0119707651,BR_R002_0000,1,0,False,27
BR_R002_7004_test_2.0.0,0.1984830237,BR_R002_0000,1,tp,True,24
BR_R002_7005_test_2.0.0,0.1016999197,BR_R002_0001,1,tp,True,24
