site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date,model type
positive,BR_R002_0000,BR_R002_7002_test_2.0.0,,,,303.09286503732835,378.49248809294266,467.86924559169546,631,926,1221,2021-01-09,2021-01-09,2017-09-06,2019-04-19,point
positive,BR_R002_0000,BR_R002_7003_test_2.0.0,,,,343.9453905865171,429.72497508698217,504.407041876414,631,781,931,2021-01-09,2021-01-09,2018-06-23,2019-04-19,point
positive_excluded,BR_R002_0014,BR_R002_7005_test_2.0.0,,,,483.4898031229922,708.9121914084348,881.2364961513894,-846,-1116,-1386,2015-11-30,2015-11-30,2018-03-25,2019-09-16,point
