Min Confidence,recall (PD)_rho=0.5,spatial FAR_rho=0.5
0.0,0,0.044217561442956035
0.1,0,0.044217561442956035
0.2,0,0.044217561442956035
0.3,0,0.044217561442956035
0.4,0,0.044217561442956035
0.5,0,0.022108780721478018
0.6,0,0.0
0.7,0,0.0
0.8,0,0.0
0.9,0,0.0
1.0,0,0.0
