Min Confidence,recall (PD)_rho=0.5,images FAR_rho=0.5
0.0,0.6666666666666666,0.008064516129032258
0.1,0.6666666666666666,0.008064516129032258
0.2,0.6666666666666666,0.008064516129032258
0.3,0.6666666666666666,0.008064516129032258
0.4,0.6666666666666666,0.008064516129032258
0.5,0.6666666666666666,0.005494505494505495
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
