site model,site area,matched truth sites,site count,association status,associated,color code
BR_R002_7000_test_2.0.0,0.011567804,BR_R002_0005_te_2.0.4,1,0,True,26
BR_R002_7001_test_2.0.0,0.0607012906,BR_R002_0012_te_2.0.1,1,0,True,26
BR_R002_7002_test_2.0.0,0.0126488469,,0,fp,False,22
BR_R002_7003_test_2.0.0,0.0119707651,,0,fp,False,22
BR_R002_7004_test_2.0.0,0.1984830237,BR_R002_0000_te_2.0.1,1,0,True,26
BR_R002_7005_test_2.0.0,0.1016999197,BR_R002_0001_te_2.0.0,1,0,True,26
