Min Confidence,tp sites,tp exact,tp under,tp under (IoU),tp under (IoT),tp over,fp sites,fp area,ffpa,proposal area,fpa,fn sites,truth annotations,truth sites,proposed annotations,confident annotations,proposed sites,total sites,truth slices,proposed slices,precision,recall (PD),F1,spatial FAR,temporal FAR,images FAR
0.0,22,17,3,2,1,2,3,0.115,0.0022,0.9938,0.0191,5,118,27,25,25,25,30,2533,826,0.88,0.8148,0.8462,0.0575,0.0011,0.0036
0.1,22,17,3,2,1,2,3,0.115,0.0022,0.9938,0.0191,5,118,27,25,25,25,30,2533,826,0.88,0.8148,0.8462,0.0575,0.0011,0.0036
0.2,22,17,3,2,1,2,3,0.115,0.0022,0.9938,0.0191,5,118,27,25,25,25,30,2533,826,0.88,0.8148,0.8462,0.0575,0.0011,0.0036
0.3,22,17,3,2,1,2,3,0.115,0.0022,0.9938,0.0191,5,118,27,25,25,25,30,2533,826,0.88,0.8148,0.8462,0.0575,0.0011,0.0036
0.4,22,17,3,2,1,2,3,0.115,0.0022,0.9938,0.0191,5,118,27,25,25,25,30,2533,826,0.88,0.8148,0.8462,0.0575,0.0011,0.0036
0.5,22,17,3,2,1,2,1,0.0858,0.0017,0.9646,0.0185,5,118,27,25,23,23,28,2533,762,0.9565,0.8148,0.88,0.0192,0.0004,0.0013
0.6,18,13,3,2,1,2,0,0.0752,0.0015,0.8934,0.0171,9,118,27,25,18,18,27,2533,607,1.0,0.6667,0.8,0.0,0.0,0.0
0.7,1,1,0,0,0,0,0,0.0014,0.0,0.0331,0.0006,26,118,27,25,1,1,27,2533,31,1.0,0.037,0.0714,0.0,0.0,0.0
0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27,118,27,25,0,0,27,2533,0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27,118,27,25,0,0,27,2533,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27,118,27,25,0,0,27,2533,0,0.0,0.0,0.0,0.0,0.0,0.0
