site type,truth site,site area,matched site models,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,site count,association status,associated,color code,model type
ignore,KR_R002_0014_te_2.0.1,0.0126009131,,,,,,,,,,,0,0,False,12,stack
positive_unbounded,KR_R002_0015_te_2.1.0,0.0938960371,,,,,,,,,,,0,0,False,9,stack
positive_annotated,KR_R002_0016_te_2.1.1,0.040171223,KR_R002_7017_test_2.0.0,1.0,0.9253731343283582,0.5509761388286334,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0017_te_2.1.1,0.0242912593,KR_R002_7023_test_2.0.0,1.0,0.3229571984435798,0.8350668647845468,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0018_te_2.1.1,0.0357412226,KR_R002_7022_test_2.0.0,1.0,0.8192771084337349,0.6996402877697842,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0019_te_2.1.1,0.0351054607,KR_R002_7021_test_2.0.0,1.0,0.7386609071274298,0.6628019323671498,,,,,,,1,tp,True,2,stack
positive_unbounded,KR_R002_0020_te_2.1.0,0.0238407022,,,,,,,,,,,0,0,False,9,stack
ignore,KR_R002_0021_te_2.1.0,0.011675857,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0022_te_2.0.1,0.0059929065,,,,,,,,,,,0,tn,False,6,stack
positive_annotated,KR_R002_0023_te_2.1.0,0.0420453603,KR_R002_7008_test_2.0.0,0.90625,1.0,0.757201646090535,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0024_te_2.1.0,0.0416419447,KR_R002_7006_test_2.0.0,1.0,0.5014164305949008,0.5259481037924152,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0025_te_2.1.0,0.0346301834,KR_R002_7007_test_2.0.0,1.0,0.300921187308086,0.8315629742033384,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0027_te_2.1.0,0.0160746812,KR_R002_7016_test_2.0.0,1.0,0.862992125984252,0.6449746926970354,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0028_te_2.1.0,0.0530101343,KR_R002_7004_test_2.0.0,0.782608695652174,1.0,0.4810379241516966,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0029_te_2.0.0,0.0668448947,,,,,,,,,,,0,fn,False,3,stack
negative,KR_R002_0030_te_2.0.1,0.0246587027,KR_R002_7011_test_2.0.0,1.0,1.0,0.45538900785153463,,,,,,,1,fp,True,5,stack
positive_annotated,KR_R002_0031_te_2.1.0,0.0430181607,KR_R002_7002_test_2.0.0,1.0,0.6866840731070496,0.7965641952983725,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0032_te_2.1.1,0.0383247204,KR_R002_7003_test_2.0.0,1.0,0.6348949919224556,0.5735815602836879,,,,,,,1,tp,True,2,stack
positive_annotated,KR_R002_0033_te_2.1.1,0.0158562294,,,,,,,,,,,0,fn,False,3,stack
positive_annotated,KR_R002_0034_te_2.1.0,0.0354329899,KR_R002_7009_test_2.0.0,0.8333333333333334,1.0,0.8846153846153846,,,,,,,1,tp,True,2,stack
ignore,KR_R002_0035_te_2.0.2,0.0070745628,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0036_te_2.0.1,0.0051315103,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0037_te_2.0.1,0.0015242574,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0038_te_2.0.1,0.0042285194,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0039_te_2.0.1,0.0077600613,,,,,,,,,,,0,tn,False,6,stack
negative,KR_R002_0040_te_2.0.1,0.0019901658,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0041_te_2.0.1,0.0047194787,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0042_te_2.0.1,0.0575083392,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0043_te_2.0.1,0.0112900835,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0044_te_2.0.1,0.0041980138,,,,,,,,,,,0,0,False,12,stack
positive_annotated,KR_R002_0053_te_2.1.0,0.014873846,,,,,,,,,,,0,fn,False,3,stack
ignore,KR_R002_0054_te_2.0.1,0.0029068155,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0055_te_2.0.1,0.0028044243,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0056_te_2.1.0,0.0150156723,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0057_te_2.0.1,0.0048893202,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0061_te_2.0.1,0.0021703231,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0063_te_2.1.0,0.0092562196,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0065_te_2.0.1,0.0018740238,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0066_te_2.0.1,0.0039180643,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0067_te_2.0.1,0.0031936095,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0068_te_2.0.1,0.0051959265,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0069_te_2.0.1,0.0051485017,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0070_te_2.0.1,0.0037821535,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0071_te_2.0.1,0.0033408677,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0072_te_2.0.1,0.0021612147,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0073_te_2.0.1,0.0035997204,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0074_te_2.1.1,0.0116090388,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0075_te_2.0.1,0.0014095488,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0076_te_2.0.1,0.0020309623,,,,,,,,,,,0,0,False,12,stack
