site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date,model type
positive_annotated,KR_R002_0000_te_2.0.0,KR_R002_7019_test_2.0.0,0.0,1.0,0.8988195615514334,,,,,,,2015-01-23,2017-01-03,2014-02-03,2017-05-03,stack
positive_annotated,KR_R002_0001_te_2.0.0,KR_R002_7024_test_2.0.0,0.0,0.994280266920877,1.0,,,,,,,2015-01-23,2017-12-06,2014-02-03,2017-11-30,stack
positive_annotated,KR_R002_0029_te_2.0.0,KR_R002_7001_test_2.0.0,0.0,0.6422310756972112,0.6821515892420538,,,,,,,2018-03-26,2021-08-31,2017-01-29,2020-06-08,stack
ignore,KR_R002_0036_te_2.0.1,KR_R002_7009_test_2.0.0,0.0,0.6736930860033726,0.9603365384615384,,,,,,,2014-01-01,2017-03-31,2015-01-23,2017-05-03,stack
negative,KR_R002_0119_te_2.0.1,KR_R002_7015_test_2.0.0,0.0,0.5407407407407407,0.822866344605475,,,,,,,2018-04-01,2020-10-31,2019-06-09,2021-02-18,stack
ignore,KR_R002_0137_te_2.0.3,KR_R002_7004_test_2.0.0,0.0,0.4704225352112676,1.0,,,,,,,2014-01-01,2019-10-31,2015-01-23,2017-10-20,stack
