id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation,model type
BR_R002_7000_test_2.0.0,system_confirmed,0.011567804,0.011567804,0.4895345782706751,2019-10-06,2020-05-01,,,2020-05-01,2021-01-28,2021-01-28,2021-04-10,stack
BR_R002_7001_test_2.0.0,system_confirmed,0.0607012906,0.0607012906,0.6306793599189082,2017-10-11,2018-04-19,,,2018-04-19,2020-06-02,2020-06-02,2021-01-28,stack
BR_R002_7002_test_2.0.0,system_confirmed,0.0126488469,0.0126488469,0.5073414705237563,2016-11-28,2017-09-06,,,2017-09-06,2019-04-19,2019-04-19,2021-04-10,stack
BR_R002_7003_test_2.0.0,system_confirmed,0.0119707651,0.0119707651,0.47317312460030075,2016-11-28,2018-06-23,,,2018-06-23,2019-04-19,2019-04-19,2021-04-10,stack
BR_R002_7004_test_2.0.0,system_confirmed,0.1984830237,0.1984830237,0.5617659289718995,2016-11-28,2016-11-28,,,2016-11-28,2020-07-24,2020-07-24,2021-04-10,stack
BR_R002_7005_test_2.0.0,system_confirmed,0.1016999197,0.1016999197,0.5703649035345302,2016-11-28,2018-03-25,,,2018-03-25,2019-09-16,2019-09-16,2021-04-10,stack
