id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation
BR_R002_7000_test_2.0.0,system_confirmed,0.011567803969969244,0.011567803969969244,0.4895345782706751,2019-10-06,2020-05-01,,,2020-05-01,2021-01-28,2021-01-28,2021-04-10
BR_R002_7001_test_2.0.0,system_confirmed,0.06070129063655664,0.06070129063655661,0.6306793599189082,2017-10-11,2018-04-19,,,2018-04-19,2020-06-02,2020-06-02,2021-01-28
BR_R002_7002_test_2.0.0,system_confirmed,0.012648846873180465,0.012648846873180465,0.5073414705237563,2016-11-28,2017-09-06,,,2017-09-06,2019-04-19,2019-04-19,2021-04-10
BR_R002_7003_test_2.0.0,system_confirmed,0.011970765127856149,0.011970765127856149,0.47317312460030075,2016-11-28,2018-06-23,,,2018-06-23,2019-04-19,2019-04-19,2021-04-10
BR_R002_7004_test_2.0.0,system_confirmed,0.19848302371082271,0.19848302371082271,0.5617659289718995,2016-11-28,2016-11-28,,,2016-11-28,2020-07-24,2020-07-24,2021-04-10
BR_R002_7005_test_2.0.0,system_confirmed,0.10169991974663145,0.10169991974663148,0.5703649035345302,2016-11-28,2018-03-25,,,2018-03-25,2019-09-16,2019-09-16,2021-04-10
